Index,Method,Source,Lab,Lat (N),Long (E),Sample Name,Lithology,Mineral,Age (Ma),2sigma,p-value,MSWD,df,n,Age Type,Instrument,Journal,DOI,Coordinates From
1,U-Pb,"Açlan and Altun, 2018",1,39.57477,43.26521,Y-30,Gabbro,Zircon,22.30,0.20,0.929,0.51,14,15,mean,LA-ICPMS,Journal of African Earth Sciences,https://doi.org/10.1016/j.jafrearsci.2018.02.019,Coordinates gathered from map
2,U-Pb,"Açlan and Altun, 2018",1,39.56259,43.27984,Y-90,Granodiorite,Zircon,21.80,0.20,0.071,1.60,14,15,mean,LA-ICPMS,Journal of African Earth Sciences,https://doi.org/10.1016/j.jafrearsci.2018.02.019,Coordinates gathered from map
3,U-Pb,"Açlan and Altun, 2018",1,39.59578,43.28000,Y-82,Tonalite,Zircon,21.70,0.20,0.114,1.40,19,20,mean,LA-ICPMS,Journal of African Earth Sciences,https://doi.org/10.1016/j.jafrearsci.2018.02.019,Coordinates gathered from map
4,U-Pb,"Açlan and Duruk, 2018",1,39.58243,43.49295,H-25,Granodiorite,Zircon,19.70,0.60,0.000,3.20,17,18,mean,LA-ICPMS,Arabian Journal of Geosciences,https://doi.org/10.1007/s12517-018-3674-4,Coordinates gathered from map
5,U-Pb,"Açlan and Duruk, 2018",1,39.59040,43.39357,H-35,Monzogranite,Zircon,20.30,0.60,0.000,2.80,16,17,mean,LA-ICPMS,Arabian Journal of Geosciences,https://doi.org/10.1007/s12517-018-3674-4,Coordinates gathered from map
6,U-Pb,"Akal et al., 2011",2,38.57619,26.44575,880,Quartz Diorite,Zircon,247.10,4.00,0.740,0.04,16,9,conc,LA-ICPMS,Turkish Journal of Earth Sciences ,https://doi.org/10.3906/yer-1008-1,Precise coordinates
7,U-Pb,"Akal et al., 2012",2,38.18599,32.39986,1196/21,Meta-trachyandesite,Zircon,250.10,7.60,0.094,2.80,20,11,conc,LA-ICPMS,International Journal of Earth Sciences,https://doi.org/10.1007/s00531-011-0654-2,Precise coordinates
8,U-Pb,"Akal et al., 2024",3,39.321975,28.552818,1751,Meta-rhyolite,Zircon,238.60,1.20,0.590,0.29,14,8,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2024.107691,Precise coordinates
9,U-Pb,"Akal et al., 2024",3,39.355807,28.580354,1744,Meta-rhyolite,Zircon,241.10,2.60,0.270,1.20,18,10,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2024.107691,Precise coordinates
10,U-Pb,"Akal et al., 2024",3,39.307721,28.541937,1294,Meta-rhyolite,Zircon,245.20,2.00,0.840,0.04,20,11,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2024.107691,Precise coordinates
11,U-Pb,"Akal et al., 2024",3,38.395651,32.0226,1047,Meta-rhyolite,Zircon,229.40,2.70,0.710,0.14,16,9,conc,LA-ICPMS,Lithos,https://doi.org/10.1016/j.lithos.2024.107691,Precise coordinates
